Symbiodinium42993	PFAM SMP-30 Gluconolaconase
Symbiodinium41988	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides
Symbiodinium48334	Ribosomal protein S16
Symbiodinium23081	Belongs to the ubiquitin-conjugating enzyme family
Symbiodinium30188	exonuclease domain-containing protein
Symbiodinium24679	Glycogen debranching
Symbiodinium53171	N-acetyllactosamine synthase activity
Symbiodinium9351	WD40-like Beta Propeller Repeat
Symbiodinium34610	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
Symbiodinium28155	cysteine-type peptidase activity
Symbiodinium37552	FKBP-type peptidyl-prolyl cis-trans isomerase
Symbiodinium30671	Rubredoxin
Symbiodinium44234	Centrosomal protein
Symbiodinium10428	Domain of unknown function (DUF4483)
Symbiodinium20627	Helicase associated domain (HA2)  Add an annotation
Symbiodinium48656	ubiquitin-protein transferase activity
Symbiodinium32849	Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA
Symbiodinium43600	Bardet-Biedl syndrome 2
Symbiodinium52042	procollagen-proline 4-dioxygenase activity
Symbiodinium38200	SET and MYND domain protein
Symbiodinium34644	pyrimidine nucleotide-sugar transmembrane transporter activity
Symbiodinium23827	nucleoside hydrolase
Symbiodinium24352	Aspartyl/Asparaginyl beta-hydroxylase
Symbiodinium14444	Ammonium transporter
Symbiodinium42030	Methyltransferase domain
Symbiodinium32742	-
Symbiodinium6738	C2HE / C2H2 / C2HC zinc-binding finger
Symbiodinium39173	ubiquitin carboxyl-terminal hydrolase
Symbiodinium8988	DNAK family domain containing protein
Symbiodinium6527	Alpha amylase, catalytic domain
Symbiodinium36651	Uncharacterized conserved protein (DUF2183)
Symbiodinium28094	inner dynein arm assembly
Symbiodinium32587	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain
Symbiodinium17352	Peptidase family M1 domain
Symbiodinium47729	aspartic-type endopeptidase activity
Symbiodinium46876	PFAM multicopper oxidase
Symbiodinium55257	Isoprenylcysteine carboxyl methyltransferase (ICMT) family
Symbiodinium37770	acid phosphatase activity
Symbiodinium25436	Belongs to the eukaryotic ribosomal protein eL6 family
Symbiodinium36463	phenylpyruvate tautomerase activity
Symbiodinium21959	Glycosyltransferase family 66 protein
Symbiodinium13612	ABC-2 type transporter
Symbiodinium25481	protein serine/threonine phosphatase activity
Symbiodinium10422	Belongs to the short-chain dehydrogenases reductases (SDR) family
Symbiodinium54233	GTPase that plays an essential role in the late steps of ribosome biogenesis
Symbiodinium10560	Lycopene cyclase protein
Symbiodinium50798	Glycosyl hydrolase family 63 C-terminal domain
Symbiodinium56300	NADP-retinol dehydrogenase activity
Symbiodinium48024	UDP-glucose glycoprotein
Symbiodinium18786	DNA topoisomerase type I activity
Symbiodinium42563	COG3119 Arylsulfatase A and related enzymes
Symbiodinium19314	Belongs to the ompA family
Symbiodinium19011	NDP-glucose-starch glucosyltransferase activity
Symbiodinium19897	Rhodanese Homology Domain
Symbiodinium48144	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
Symbiodinium13653	dephospho-CoA kinase activity
Symbiodinium32713	Von Willebrand factor type A domain
Symbiodinium31018	peptide-methionine (S)-S-oxide reductase activity
Symbiodinium31377	Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose
Symbiodinium36093	Prolyl oligopeptidase family
Symbiodinium34042	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Symbiodinium8913	Calcium-transporting ATPase 1, endoplasmic reticulum-type. Source PGD
Symbiodinium17292	DnaJ molecular chaperone homology domain
Symbiodinium27987	nicotinamide phosphoribosyltransferase
Symbiodinium36952	Belongs to the MIP aquaporin (TC 1.A.8) family
Symbiodinium29437	Dynein light chain
Symbiodinium44102	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament
Symbiodinium43247	Serine threonine-protein phosphatase PP1-alpha catalytic subunit
Symbiodinium15637	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium40037	Belongs to the small GTPase superfamily. Arf family
Symbiodinium44766	splicing factor U2AF-associated protein, related
Symbiodinium37950	Ribosomal protein L19
Symbiodinium15591	3'-5'-exoribonuclease that specifically recognizes RNAs polyuridylated at their 3' end and mediates their degradation. Component of an exosome-independent RNA degradation pathway that mediates degradation of cytoplasmic mRNAs that have been deadenylated and subsequently uridylated at their 3'
Symbiodinium44193	calcium-transporting ATPase activity
Symbiodinium34817	Translation initiation factor 2
Symbiodinium42605	Catalyzes the interconversion between the alpha and beta anomers from at least three hexose 6-phosphate sugars (Glc6P, Gal6P, and Man6P)
Symbiodinium34796	methionine
Symbiodinium54213	Ribulose-phosphate 3-epimerase. Source PGD
Symbiodinium47899	Serine/Threonine protein kinases, catalytic domain
Symbiodinium9317	Regulator of chromosome condensation (RCC1) repeat
Symbiodinium48213	AAA domain (Cdc48 subfamily)
Symbiodinium50197	peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine
Symbiodinium21086	kinase D1
Symbiodinium14660	PFAM regulator of chromosome condensation, RCC1
Symbiodinium39353	intein-mediated protein splicing
Symbiodinium48575	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
Symbiodinium28957	GDP-L-fucose synthase activity
Symbiodinium25212	cilium assembly
Symbiodinium37250	X-domain of DnaJ-containing
Symbiodinium6922	oxidation-reduction process
Symbiodinium34041	haloacid dehalogenase-like hydrolase
Symbiodinium33824	ER lumen protein retaining receptor
Symbiodinium7691	MAP kinase activity
Symbiodinium24121	Leucine rich repeat containing 56
Symbiodinium32223	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Symbiodinium15679	mRNA-containing ribonucleoprotein complex export from nucleus
Symbiodinium26394	oxidoreductase activity, acting on diphenols and related substances as donors
Symbiodinium17881	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Symbiodinium9763	Cupin-like domain
Symbiodinium32035	Catalyzes the transfer of a methylene group from S-adenosyl-L-methionine to the cis double bond of an unsaturated fatty acid chain resulting in the replacement of the double bond with a methylene bridge
Symbiodinium49069	Flavodoxin
Symbiodinium5841	Catalyzes the 2'-O methylation of guanosine at position 18 in tRNA
Symbiodinium15343	Glycosyl hydrolases family 16
Symbiodinium38420	UbiA prenyltransferase family
Symbiodinium29498	thiosulfate transmembrane transporter activity
Symbiodinium37455	Phosphoglycerate mutase
Symbiodinium34398	reductase
Symbiodinium28059	EF-hand, calcium binding motif
Symbiodinium6620	2OG-Fe(II) oxygenase superfamily
Symbiodinium38323	NAD+ ADP-ribosyltransferase activity
Symbiodinium32853	Serine threonine-protein phosphatase
Symbiodinium8454	Astacin (Peptidase family M12A)
Symbiodinium44844	Nuclear movement
Symbiodinium47547	polypeptide N-acetylgalactosaminyltransferase activity
Symbiodinium49446	adenylate kinase activity
Symbiodinium20043	Aspartyl/Asparaginyl beta-hydroxylase
Symbiodinium26250	iron-sulfur transferase activity
Symbiodinium43286	Alpha-aminoadipic semialdehyde synthase. Source PGD
Symbiodinium14329	Clathrin heavy chain repeat homology
Symbiodinium38072	respiratory chain complex III assembly
Symbiodinium31112	positive regulation of nuclear receptor transcription coactivator activity
Symbiodinium44042	Required for maturation of ribosomal RNAs and formation of the large ribosomal subunit
Symbiodinium44572	tRNA 2'-phosphotransferase 1
Symbiodinium12447	Ribosomal protein S27a
Symbiodinium9186	Belongs to the D-alanine--D-alanine ligase family
Symbiodinium38739	Belongs to the protein kinase superfamily. AGC Ser Thr protein kinase family. S6 kinase subfamily
Symbiodinium24324	manganese ion binding
Symbiodinium51160	Desumoylating isopeptidase
Symbiodinium48061	leukotriene-A4 hydrolase activity
Symbiodinium19380	Cation transporter/ATPase, N-terminus
Symbiodinium28015	Splicing factor 3B subunit 3
Symbiodinium45189	WD repeat-containing protein
Symbiodinium62267	Ribosomal large subunit pseudouridine synthase C
Symbiodinium32194	PFAM Glycoside hydrolase, family 20, catalytic core
Symbiodinium50821	Protein tyrosine kinase
Symbiodinium15168	Cell division protein 48 (CDC48) N-terminal domain
Symbiodinium37089	TIGRFAM glycosyltransferase, MGT family
Symbiodinium31053	cAMP-dependent protein kinase regulator activity
Symbiodinium46342	D-lactate dehydrogenase, membrane binding
Symbiodinium38375	Acyl-CoA dehydrogenase, N-terminal domain
Symbiodinium43152	Ferrous iron transport protein B
Symbiodinium5203	Carbamoyltransferase C-terminus
Symbiodinium40143	3'-5' exonuclease
Symbiodinium28672	2-acylglycerol O-acyltransferase activity
Symbiodinium19836	Trypsin-like peptidase domain
Symbiodinium6427	ribosomal protein
Symbiodinium12926	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium37927	belongs to the protein kinase superfamily
Symbiodinium6054	RNA polymerase Rpc34 subunit
Symbiodinium52945	Peptidyl-prolyl cis-trans isomerase
Symbiodinium6284	Trypsin domain containing 1
Symbiodinium15412	plastid DNA replication
Symbiodinium48553	Controls S-phase checkpoint as well as G1 and G2 DNA damage checkpoints. Phosphorylates proteins on serine, threonine, and tyrosine. Prevents entry into anaphase and mitotic exit after DNA damage via regulation of the Polo kinase CDC5
Symbiodinium7594	response to abiotic stimulus
Symbiodinium12317	Belongs to the eukaryotic ribosomal protein eL20 family
Symbiodinium29512	Belongs to the DHHC palmitoyltransferase family
Symbiodinium39503	ER lumen protein retaining receptor
Symbiodinium15408	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity
Symbiodinium32815	EF-hand domain
Symbiodinium43873	Methyltransferase domain
Symbiodinium40757	Zinc-binding dehydrogenase
Symbiodinium17690	Ciliary basal body-associated, B9 protein
Symbiodinium28593	Belongs to the nucleosome assembly protein (NAP) family
Symbiodinium51949	Dimerisation domain
Symbiodinium41360	protein kinase activity
Symbiodinium8069	Cold shock protein domain
Symbiodinium23173	protein deglutamylation
Symbiodinium51941	regulation of multivesicular body size involved in endosome transport
Symbiodinium27069	photosynthesis
Symbiodinium6601	Efflux ABC transporter, permease ATP-binding protein
Symbiodinium14206	N-acetylglucosaminylphosphatidylinositol deacetylase activity
Symbiodinium5653	fatty acid beta-oxidation
Symbiodinium28224	TIGRFAM Light-dependent protochlorophyllide reductase
Symbiodinium14551	(RNA) helicase
Symbiodinium42316	protein serine/threonine kinase activity
Symbiodinium26958	Belongs to the pseudouridine synthase RluA family
Symbiodinium38407	DNA ligase OB-like domain
Symbiodinium49444	serine threonine-protein phosphatase
Symbiodinium17979	Belongs to the glycosyl hydrolase 2 family
Symbiodinium29815	Belongs to the short-chain dehydrogenases reductases (SDR) family
Symbiodinium28513	Nitronate monooxygenase
Symbiodinium35629	Adaptor complexes medium subunit family
Symbiodinium49079	zinc-finger of a C2HC-type
Symbiodinium22471	pectin acetylesterase activity
Symbiodinium26030	Aconitate B N-terminal domain
Symbiodinium19115	Belongs to the protein kinase superfamily
Symbiodinium43390	Methyltransferase domain
Symbiodinium31803	microtubule motor activity
Symbiodinium33708	Phosphatidylinositol 3- and 4-kinase
Symbiodinium6478	pyruvate dehydrogenase (acetyl-transferring) kinase activity
Symbiodinium23428	Calcium-transporting ATPase 1, endoplasmic reticulum-type. Source PGD
Symbiodinium5262	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
Symbiodinium29283	Belongs to the citrate synthase family
Symbiodinium25657	WD40 repeats
Symbiodinium23877	Source PGD
Symbiodinium9864	alternative oxidase
Symbiodinium32988	Serine/Threonine protein kinases, catalytic domain
Symbiodinium34332	Ankyrin repeats (many copies)
Symbiodinium55251	plastid-lipid-associated protein 11
Symbiodinium33324	Conserved mid region of cactin
Symbiodinium31115	calcium ion binding
Symbiodinium20966	-
Symbiodinium20099	Belongs to the GPI family
Symbiodinium46930	MMPL family
Symbiodinium25381	2OG-Fe(II) oxygenase
Symbiodinium39991	protein kinase activity
Symbiodinium24174	BTB/POZ domain
Symbiodinium54101	molybdopterin molybdotransferase activity
Symbiodinium45786	protein N-terminus binding
Symbiodinium36640	to Saccharomyces cerevisiae YPT31 (YER031C) and YPT32 (YGL210W)
Symbiodinium27306	ribosomal protein
Symbiodinium34353	regulation of choline O-acetyltransferase activity
Symbiodinium37364	DnaJ-domain-containing protein
Symbiodinium30130	Lys63-specific deubiquitinase activity
Symbiodinium43849	Ribulose-phosphate 3-epimerase. Source PGD
Symbiodinium21006	DJ-1/PfpI family
Symbiodinium19852	2OG-Fe(II) oxygenase superfamily
Symbiodinium30416	SNF2 family N-terminal domain-containing protein
Symbiodinium37526	Source PGD
Symbiodinium34301	Protein of unknown function (DUF2854)
Symbiodinium21907	zinc ion binding
Symbiodinium19186	heat shock protein binding
Symbiodinium48727	Exosome complex exonuclease RRP4 N-terminal region
Symbiodinium60340	nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay
Symbiodinium35109	Protein tyrosine kinase
Symbiodinium36887	COP9 signalosome complex subunit
Symbiodinium7615	Heat shock chaperonin-binding motif.
Symbiodinium22795	Cyclin-dependent kinase inhibitor 3 (CDKN3)
Symbiodinium7428	sulfuric ester hydrolase activity
Symbiodinium28798	Radial spokehead-like protein
Symbiodinium38669	Signal recognition particle
Symbiodinium7386	serine threonine protein phosphatase
Symbiodinium10750	Alpha/beta hydrolase family
Symbiodinium51198	Putative esterase
Symbiodinium49856	Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)
Symbiodinium46360	galactosylceramidase
Symbiodinium32737	Belongs to the class-I aminoacyl-tRNA synthetase family
Symbiodinium32303	hydrolase activity, acting on ester bonds
Symbiodinium36917	glucose import
Symbiodinium11133	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity
Symbiodinium4226	octopamine biosynthetic process
Symbiodinium19648	hemK methyltransferase family member 1
Symbiodinium38183	protein kinase activity
Symbiodinium23065	Belongs to the phosphoglycerate mutase family
Symbiodinium53038	Mortierella verticillata NRRL 6337
Symbiodinium49534	oxidation-reduction process
Symbiodinium12104	E3 ubiquitin-protein ligase
Symbiodinium41082	Taurine catabolism dioxygenase TauD, TfdA family
Symbiodinium32949	calcium-dependent protein kinase
Symbiodinium8587	trophectodermal cell differentiation
Symbiodinium8167	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Symbiodinium21730	Transferase activity, transferring glycosyl groups
Symbiodinium32204	Cytochrome P450
Symbiodinium19446	mago nashi
Symbiodinium19347	negative regulation of hippo signaling
Symbiodinium37340	Protein phosphatase 2C
Symbiodinium28504	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Symbiodinium41160	Belongs to the protein kinase superfamily
Symbiodinium44559	Lys63-specific deubiquitinase activity
Symbiodinium24977	Elongation factor 2
Symbiodinium33444	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
Symbiodinium17837	Peptide methionine sulfoxide reductase
Symbiodinium53313	peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine
Symbiodinium32281	Semialdehyde dehydrogenase, NAD binding domain
Symbiodinium40152	intraciliary retrograde transport
Symbiodinium34219	-
Symbiodinium41456	DNA replication initiation
Symbiodinium49544	sucrose synthase activity
Symbiodinium36943	N2,N2-dimethylguanosine tRNA methyltransferase
Symbiodinium33677	Pre-mRNA-splicing factor of RES complex
Symbiodinium17591	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium21232	protein farnesyltransferase activity
Symbiodinium6150	belongs to the protein kinase superfamily
Symbiodinium29381	Belongs to the TUB family
Symbiodinium46309	RNA-binding protein mei2 homologue
Symbiodinium55152	phytanoyl-CoA dioxygenase activity
Symbiodinium23932	Catalyzes the rate-limiting step of the oxidative pentose-phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis
Symbiodinium47834	DNA-directed RNA polymerases I and III subunit rpac1
Symbiodinium46167	Threonine synthase N terminus
Symbiodinium40102	2-acylglycerol O-acyltransferase activity
Symbiodinium16405	oxidoreductase activity
Symbiodinium26206	Lys63-specific deubiquitinase activity
Symbiodinium49174	sphingolipid delta-4 desaturase activity
Symbiodinium10846	mRNA 5'-UTR binding
Symbiodinium44421	Belongs to the glycosyl hydrolase 43 family
Symbiodinium43123	ATPase activity, coupled to transmembrane movement of substances
Symbiodinium29527	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit
Symbiodinium30607	NAD+ ADP-ribosyltransferase activity
Symbiodinium24445	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Symbiodinium50698	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
Symbiodinium51132	Fumarylacetoacetate (FAA) hydrolase family
Symbiodinium53569	GIY-YIG catalytic domain
Symbiodinium54415	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
Symbiodinium36635	Nitronate monooxygenase
Symbiodinium49512	YT521-B-like domain
Symbiodinium51591	negative regulation of phosphatase activity
Symbiodinium9630	glutamine synthetase
Symbiodinium21155	Transmembrane protein 18
Symbiodinium21875	Belongs to the actin family
Symbiodinium10911	Aldo/keto reductase family
Symbiodinium13976	protein-ribulosamine 3-kinase activity
Symbiodinium29619	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
Symbiodinium58465	Acetyltransferase (GNAT) domain
Symbiodinium44381	PPPDE putative peptidase domain
Symbiodinium5880	Helicase associated domain (HA2)
Symbiodinium10796	ligase activity, forming nitrogen-metal bonds
Symbiodinium6987	AFG1-like ATPase
Symbiodinium26792	nitrile biosynthetic process
Symbiodinium23770	Uncharacterised ACR, YagE family COG1723
Symbiodinium16945	Serine threonine-protein phosphatase
Symbiodinium39704	RING-H2 finger protein
Symbiodinium9591	alpha/beta hydrolase fold
Symbiodinium30772	Zinc ion binding
Symbiodinium26948	Major Facilitator Superfamily
Symbiodinium18000	1-alkylglycerophosphocholine O-acetyltransferase activity
Symbiodinium55470	PFAM short chain dehydrogenase
Symbiodinium29556	Belongs to the class-II DAHP synthase family
Symbiodinium55109	pyrimidine dimer repair by nucleotide-excision repair
Symbiodinium31319	homoserine dehydrogenase activity
Symbiodinium19741	ATP-binding cassette sub-family B
Symbiodinium44952	ubiquitin-protein transferase activity
Symbiodinium25616	cysteine-type peptidase activity
Symbiodinium39361	Ubiquitin carboxyl-terminal hydrolase
Symbiodinium11645	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
Symbiodinium27738	UDP-glucoronosyl and UDP-glucosyl transferase
Symbiodinium28427	cysteine-type peptidase activity
Symbiodinium36756	ammonium transmembrane transporter activity
Symbiodinium35905	ER membrane protein complex subunit
Symbiodinium41218	ABC1 family
Symbiodinium48713	Serine-threonine phosophatase 2C
Symbiodinium9961	proton-transporting ATP synthase activity, rotational mechanism
Symbiodinium40914	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium37908	ferrochelatase activity
Symbiodinium21866	Pfam 01975 MraW methylase family Members of this family are probably SAM dependent methyltransferases based on Swiss P18595 1 . This family appears to be related to Methyltransf_3 pfam 01596
Symbiodinium11353	PFAM Integral membrane protein TerC
Symbiodinium44902	establishment of protein localization to endoplasmic reticulum membrane
Symbiodinium40226	Phosphodiesterase 4C
Symbiodinium19804	alcohol dehydrogenase
Symbiodinium26803	Elongation factor 2
